PM2_5,NO2,CO,SO2,O3,AQI
10.4,12.88,0.16,13.72,30.35,58.0
30.0,35.52,0.43,10.95,40.09,97.0
16.63,23.21,0.22,5.45,18.43,44.0
25.6,21.02,0.53,3.09,16.82,56.0
42.14,41.35,0.77,8.54,31.83,100.0
47.22,26.91,0.55,14.65,55.33,117.0
61.91,31.59,0.02,4.16,15.63,118.0
33.07,22.72,0.44,5.94,38.23,102.0
69.3,9.09,0.8,26.79,19.53,112.0
46.22,13.56,0.68,7.47,78.92,133.0
49.58,19.05,0.7,12.47,20.32,61.0
31.59,33.61,0.87,37.4,44.39,102.0
116.91,53.63,12.64,7.54,27.17,334.0
60.96,71.71,1.71,22.92,42.1,112.0
12.37,11.89,0.47,9.6,20.02,36.0
69.27,18.17,1.14,7.82,47.4,145.0
62.45,38.24,0.17,12.7,65.94,140.0
70.51,16.18,1.2,11.67,33.14,144.0
23.43,25.39,0.28,6.63,16.46,90.0
56.11,30.37,0.93,8.02,70.53,122.0
39.76,9.65,0.86,19.92,28.88,90.0
61.8,58.71,0.52,44.93,67.7,141.0
60.88,44.45,0.7,1.15,26.27,72.0
58.22,25.71,0.93,17.38,40.74,134.0
67.7,41.12,1.1,6.93,82.73,142.0
45.96,14.52,0.59,9.29,17.07,102.0
278.95,76.71,2.9,20.03,35.61,401.0
67.2,31.58,0.9,3.34,26.11,190.0
23.54,22.14,0.49,4.34,13.74,51.0
60.29,10.06,0.71,8.9,24.19,89.0
80.31,10.78,0.64,11.47,66.65,156.0
20.11,36.1,0.71,11.7,19.76,62.0
39.07,32.44,0.63,3.94,19.34,80.0
30.21,24.42,0.38,5.75,24.31,67.0
41.99,9.2,0.46,6.03,38.63,95.0
268.2,61.2,1.9,14.14,36.37,475.0
176.57,60.12,1.89,14.37,37.22,347.0
51.21,29.86,0.69,7.72,87.78,114.0
17.24,20.51,0.88,3.6,17.5,88.0
19.59,20.91,0.72,9.73,26.65,72.0
36.94,30.21,0.42,4.14,19.82,76.0
76.43,29.5,1.38,16.93,56.59,266.0
80.91,64.6,0.86,13.03,39.91,196.0
26.16,28.5,0.73,10.67,10.02,106.0
22.52,26.18,0.77,10.01,22.22,78.0
19.9,24.48,0.79,8.65,11.43,64.0
184.02,85.03,2.26,21.27,94.79,383.0
73.33,36.99,1.22,9.03,36.13,165.0
15.1,35.9,0.57,6.22,5.82,50.0
172.99,92.54,2.42,13.97,57.47,347.0
240.42,54.8,1.38,13.2,48.57,398.0
29.4,13.63,0.75,5.03,68.2,85.0
18.89,15.5,0.4,4.14,25.56,49.0
33.68,28.72,0.58,6.91,51.78,93.0
23.51,21.98,0.44,3.83,26.87,56.0
203.05,80.39,1.71,36.83,83.48,343.0
54.34,20.55,0.61,6.61,38.74,102.0
56.63,42.21,0.98,6.85,9.93,149.0
22.8,10.84,0.69,7.4,22.14,58.0
30.9,22.46,0.84,1.62,14.21,67.0
41.99,41.0,1.06,6.03,40.99,100.0
58.64,35.55,0.57,7.38,32.49,118.0
72.36,33.08,0.97,8.58,37.47,218.0
65.78,40.09,7.38,14.34,54.47,246.0
81.15,57.85,0.86,12.45,38.87,162.0
26.94,20.67,0.65,7.34,23.8,100.0
49.5,12.64,0.64,17.14,64.8,87.0
42.12,27.04,0.01,6.02,22.48,107.0
58.92,48.17,0.93,9.67,12.78,106.0
58.24,48.41,0.64,10.22,29.95,114.0
23.31,12.18,0.55,18.77,31.69,50.0
5.6,14.58,0.51,18.82,42.45,53.0
46.21,40.94,1.3,10.07,48.2,135.0
58.29,7.93,0.94,5.61,38.25,120.0
46.72,9.22,0.53,12.95,40.67,103.0
76.5,63.35,1.24,31.62,64.29,281.0
25.39,7.75,0.7,9.14,32.42,85.0
42.86,11.51,0.52,7.06,24.61,87.0
30.1,20.72,0.38,5.1,49.45,92.0
59.73,36.72,0.59,51.36,78.43,140.0
33.46,11.38,0.61,10.78,30.09,101.0
33.32,25.1,0.1,2.46,63.15,123.0
77.78,47.58,1.21,20.15,55.06,206.0
47.97,38.91,0.74,9.83,56.45,106.0
16.57,7.71,0.59,6.39,15.03,65.0
121.49,48.55,1.74,10.2,12.52,244.0
22.9,27.25,0.83,10.43,24.16,87.0
117.46,41.1,0.13,28.79,94.63,252.0
97.42,9.83,0.64,7.05,32.52,210.0
92.94,65.32,1.15,11.28,61.19,215.0
75.88,25.83,0.92,16.29,53.14,160.0
32.92,44.95,0.7,11.38,12.07,76.0
14.5,6.53,0.55,13.75,33.76,42.0
313.22,36.39,15.2,9.25,41.68,472.0
68.86,40.05,1.01,14.26,36.3,173.0
217.55,75.98,2.84,31.77,103.4,451.0
42.69,17.81,1.22,5.41,21.98,85.0
92.3,7.59,0.99,10.21,17.21,190.0
16.66,10.52,0.36,6.04,35.37,51.0
64.18,60.93,1.0,23.32,45.46,131.0
8.24,10.16,0.54,2.07,29.15,40.0
15.07,10.72,0.41,5.29,31.07,47.0
16.28,23.43,0.26,5.56,22.53,59.0
35.9,50.76,0.76,9.13,49.0,93.0
11.85,12.75,0.4,6.07,14.1,44.0
68.06,38.87,0.63,10.27,28.38,126.0
54.15,12.44,0.58,5.43,94.84,155.0
150.33,39.46,1.13,5.8,12.62,308.0
10.88,10.11,0.41,11.86,22.62,32.0
208.87,65.66,2.1,20.17,36.62,356.0
253.7,49.45,1.82,22.27,73.6,451.0
52.88,48.93,0.84,12.88,46.88,113.0
47.98,40.73,0.89,6.59,19.82,106.0
114.5,50.7,6.84,19.38,74.49,391.0
203.12,74.04,2.72,20.76,53.02,394.0
29.1,50.82,0.62,11.6,11.82,92.0
27.22,32.62,0.0,5.88,11.15,124.0
32.98,9.99,0.67,10.45,16.72,74.0
15.0,17.03,0.19,7.42,29.39,60.0
41.77,28.04,0.54,1.86,21.76,92.0
165.63,34.23,8.03,4.11,22.69,340.0
69.7,43.5,1.0,15.06,40.59,164.0
55.77,44.15,0.78,5.58,23.84,125.0
69.19,37.59,0.01,6.2,16.57,131.0
44.85,33.4,0.85,8.91,38.81,123.0
19.08,19.73,0.54,8.23,15.5,49.0
79.9,12.23,1.26,14.13,83.35,174.0
61.11,55.94,0.81,13.1,42.88,159.0
60.28,70.51,0.43,31.91,55.7,104.0
40.46,22.82,0.58,20.81,28.22,284.0
172.55,71.76,1.96,15.25,49.74,321.0
300.91,68.25,2.65,17.41,47.94,487.0
