PM2_5,NO2,CO,SO2,O3,AQI
69.94,56.11,0.72,13.09,35.54,135.0
50.45,6.51,0.74,10.38,11.03,107.0
51.14,10.0,0.92,13.55,50.35,117.0
64.61,48.99,0.28,33.63,44.11,133.0
75.04,16.05,0.93,6.88,33.52,113.0
93.97,67.53,1.57,11.74,39.23,237.0
46.55,51.27,0.87,11.2,7.16,80.0
45.78,28.65,0.0,5.84,15.61,122.0
51.08,36.07,0.68,16.76,48.8,104.0
24.17,12.79,0.76,14.03,14.31,79.0
39.77,30.63,1.04,9.62,20.64,108.0
50.36,23.27,0.0,6.41,28.45,107.0
79.29,74.24,1.1,40.52,28.79,191.0
39.52,21.18,0.81,15.02,18.8,116.0
40.18,27.51,0.89,11.07,40.56,126.0
227.28,59.7,1.7,25.54,61.36,399.0
40.24,17.45,0.77,16.21,47.16,119.0
174.03,42.35,1.34,12.89,31.94,438.0
25.94,10.35,0.54,7.9,67.03,103.0
31.59,33.69,0.43,11.4,32.1,109.0
47.66,36.08,0.75,5.45,20.1,75.0
42.78,9.07,0.29,6.24,25.9,68.0
336.42,76.89,2.94,19.91,42.87,484.0
15.02,6.76,0.33,4.99,30.64,52.0
30.76,29.04,0.73,3.73,26.23,106.0
51.51,36.61,1.02,20.65,41.86,150.0
18.31,13.77,0.64,13.67,35.8,64.0
38.8,9.07,0.47,5.1,25.15,67.0
95.06,56.41,1.22,12.92,36.38,205.0
67.37,42.49,0.57,14.43,29.52,140.0
84.49,45.77,0.89,16.04,25.17,179.0
21.25,9.52,0.23,10.36,27.91,54.0
59.38,67.64,1.48,18.63,56.03,120.0
20.92,19.29,0.57,2.14,15.6,48.0
10.31,17.7,0.31,5.28,13.05,31.0
22.28,13.16,0.54,20.51,33.08,46.0
23.83,16.39,0.51,7.44,8.83,72.0
272.3,44.53,1.47,11.68,36.82,532.0
32.77,32.42,1.32,9.55,13.14,98.0
270.21,0.65,0.94,8.98,43.41,502.0
202.11,56.45,1.87,21.64,68.33,362.0
54.92,26.63,1.18,11.52,36.23,129.0
52.64,52.66,1.76,13.4,24.83,144.0
34.89,31.17,0.98,12.34,37.26,95.0
51.86,28.92,1.2,4.67,27.96,139.0
60.23,10.91,1.17,20.53,25.56,87.0
38.88,9.18,0.93,8.8,33.12,92.0
45.5,37.88,0.13,15.64,48.44,136.0
196.97,45.08,1.17,6.99,25.73,340.0
73.78,62.35,0.92,15.09,27.73,151.0
52.25,13.75,0.62,9.37,30.66,122.0
145.0,50.73,0.78,13.31,66.45,181.0
13.46,15.08,0.44,3.93,23.79,44.0
9.53,12.9,0.11,7.32,11.38,51.0
8.73,16.26,0.38,17.54,29.47,36.0
72.29,39.24,0.94,12.66,30.59,136.0
51.44,22.53,0.68,12.58,36.02,86.0
52.47,9.73,0.56,5.29,23.74,91.0
13.53,12.71,0.42,15.77,22.09,35.0
60.64,44.34,0.75,11.94,45.95,114.0
57.58,42.84,0.74,21.15,53.74,123.0
28.1,50.99,0.76,16.45,14.82,81.0
57.32,47.35,0.58,14.14,41.46,115.0
116.03,58.2,0.15,37.31,56.42,215.0
29.75,10.8,0.54,4.14,17.81,114.0
18.93,24.39,0.28,5.05,17.65,46.0
125.44,74.49,1.24,31.84,99.66,305.0
27.76,10.66,0.82,49.41,18.07,67.0
53.65,32.24,1.07,11.91,54.02,131.0
73.42,47.99,1.74,13.57,21.77,166.0
24.54,26.4,0.09,11.13,45.05,99.0
27.59,16.6,0.52,10.39,35.75,64.0
26.01,4.65,0.45,24.44,29.73,51.0
9.93,8.63,0.36,4.56,17.17,32.0
22.29,13.96,0.36,9.63,22.08,68.0
31.68,12.14,0.47,14.14,67.87,101.0
97.09,32.85,0.53,10.5,16.23,261.0
44.19,17.6,9.58,7.75,26.81,268.0
53.68,44.83,0.8,8.2,16.94,108.0
74.48,41.82,0.8,6.86,24.87,144.0
10.49,8.56,0.33,7.5,36.42,44.0
32.63,19.17,0.18,4.57,39.66,74.0
133.53,41.42,1.19,4.74,20.3,318.0
35.33,43.2,1.13,6.77,9.39,108.0
45.65,62.69,1.16,13.55,48.02,136.0
57.2,39.86,0.83,11.76,41.17,126.0
62.94,46.86,1.47,9.92,23.28,145.0
29.61,35.82,1.05,5.87,16.25,100.0
69.06,45.33,0.23,27.21,64.43,197.0
13.95,15.32,0.44,2.37,20.74,39.0
73.98,44.17,0.96,16.36,44.11,157.0
69.8,25.01,0.94,19.42,41.87,172.0
64.72,45.03,0.82,14.09,60.26,140.0
50.54,26.96,0.9,17.9,36.66,121.0
53.01,33.06,0.54,4.91,49.86,80.0
67.52,46.11,0.89,6.88,28.14,142.0
64.18,68.11,0.38,18.9,27.18,114.0
40.99,18.21,0.96,34.07,87.04,105.0
33.45,28.19,0.53,6.01,20.47,75.0
70.42,37.74,1.02,14.54,37.04,219.0
49.44,30.88,0.96,10.13,26.24,137.0
31.88,32.42,0.87,4.28,35.94,77.0
100.56,41.78,1.1,19.65,7.36,257.0
26.09,10.42,0.58,11.33,21.38,60.0
41.31,8.82,0.38,5.8,17.12,80.0
27.76,11.15,1.29,20.75,24.46,97.0
29.33,39.1,0.58,15.11,43.64,80.0
37.17,26.8,0.0,6.35,20.92,119.0
56.93,1.18,0.96,10.7,29.23,120.0
21.51,17.05,0.84,9.06,42.29,80.0
29.7,17.33,0.65,9.71,29.26,80.0
46.2,45.12,0.61,14.26,25.38,118.0
71.25,66.46,0.88,14.99,43.65,185.0
49.58,14.4,0.68,4.09,28.41,119.0
28.35,11.19,0.44,5.58,12.51,49.0
21.91,10.68,0.78,6.82,22.14,69.0
9.33,8.83,0.44,11.48,30.3,58.0
52.09,27.89,0.46,3.09,36.61,104.0
44.5,11.9,0.5,7.05,13.06,98.0
66.59,53.96,1.55,12.91,55.78,133.0
29.12,14.06,0.44,19.12,41.62,66.0
51.18,11.66,0.64,18.69,46.21,98.0
215.17,75.37,2.31,20.1,40.91,359.0
96.95,17.22,0.85,10.64,12.77,245.0
110.16,61.72,1.87,29.31,56.24,246.0
9.08,30.16,0.11,6.56,9.46,47.0
186.26,60.21,1.4,18.98,58.51,366.0
76.29,21.35,0.05,8.75,69.99,172.0
55.2,40.05,1.4,10.19,16.36,125.0
74.8,30.06,1.06,8.32,86.68,131.0
28.15,26.08,0.43,5.02,26.82,65.0
48.6,31.95,0.59,5.26,29.23,95.0
26.02,25.61,0.32,6.79,17.7,87.0
32.9,9.87,0.33,14.91,34.33,66.0
48.16,35.24,0.52,2.83,12.54,123.0
39.91,38.9,0.68,8.55,28.72,114.0
106.68,27.17,1.31,7.87,19.29,280.0
15.51,10.85,0.49,9.39,13.55,34.0
136.2,59.36,1.68,16.02,31.95,361.0
24.08,27.49,0.84,13.47,27.49,62.0
38.55,28.59,1.31,8.6,28.06,99.0
66.21,42.59,0.84,11.35,16.42,171.0
36.53,32.84,0.53,12.2,36.18,106.0
54.7,29.71,2.1,6.52,32.46,148.0
71.83,21.42,11.62,10.99,22.51,324.0
65.39,17.27,0.07,3.29,68.38,121.0
56.86,36.85,0.75,11.39,26.58,125.0
7.89,11.09,0.54,16.74,18.72,39.0
50.78,41.44,0.39,21.93,47.03,158.0
92.93,44.48,1.36,9.74,33.74,247.0
85.69,50.15,1.06,13.24,35.88,202.0
21.39,19.89,0.86,2.8,20.34,76.0
61.11,16.02,1.04,9.25,24.0,127.0
129.59,30.93,0.57,11.25,30.33,289.0
20.96,9.55,0.66,14.79,43.29,56.0
29.82,27.29,0.52,10.8,21.54,73.0
97.83,27.72,0.69,9.55,21.29,114.0
32.75,25.04,0.84,9.26,27.7,102.0
111.47,10.03,0.46,11.65,18.13,309.0
43.43,31.45,0.66,4.87,27.3,87.0
107.69,60.87,1.88,12.85,19.37,210.0
22.29,11.27,0.67,8.08,19.63,56.0
74.2,26.08,0.3,6.64,38.44,137.0
51.41,47.12,0.84,13.49,17.21,118.0
90.62,45.67,1.14,17.66,43.16,191.0
70.79,30.37,0.66,11.76,34.73,131.0
58.25,45.25,1.68,12.52,20.63,146.0
68.72,26.22,1.02,7.57,85.54,140.0
23.32,12.39,0.82,10.3,27.11,75.0
73.45,24.11,0.76,8.92,86.67,105.0
293.14,61.63,1.45,22.54,66.06,467.0
37.26,31.53,0.64,6.76,52.89,110.0
384.34,66.1,2.25,14.41,48.8,475.0
53.11,40.84,0.75,9.65,51.24,116.0
42.99,26.42,0.62,5.33,20.61,82.0
28.12,13.18,0.38,7.28,126.43,155.0
169.64,35.42,2.41,7.14,17.36,306.0
27.11,12.75,0.47,15.3,66.52,95.0
9.41,8.64,0.45,6.92,9.76,84.0
98.84,44.05,0.99,14.91,55.32,253.0
62.52,43.0,0.63,8.08,26.27,131.0
100.7,52.92,1.98,14.75,65.55,312.0
32.88,19.17,0.62,13.0,35.06,80.0
76.56,14.77,0.82,14.21,56.77,138.0
24.66,37.93,0.71,7.02,28.63,92.0
79.04,43.61,0.08,8.67,45.46,176.0
28.4,13.13,0.72,8.13,17.81,122.0
31.84,7.4,0.31,10.19,43.26,68.0
36.16,34.65,0.65,4.87,49.41,102.0
101.93,55.93,1.2,16.39,69.82,290.0
132.1,73.49,1.12,11.81,99.07,304.0
74.62,35.58,0.99,9.11,61.72,160.0
64.2,74.72,1.55,18.98,56.84,119.0
77.94,52.07,0.23,30.86,41.49,192.0
73.9,33.95,1.07,13.94,28.45,191.0
143.36,47.59,1.87,11.0,32.23,318.0
36.51,29.33,0.46,4.8,26.51,96.0
17.45,11.4,0.7,7.76,42.81,45.0
24.4,10.84,0.74,7.4,13.13,76.0
48.67,14.17,0.87,7.4,64.41,122.0
137.26,29.69,9.11,5.06,15.07,313.0
34.73,24.27,0.65,10.07,20.09,81.0
22.31,23.24,0.66,8.45,18.82,53.0
98.32,55.94,1.23,9.07,81.64,207.0
22.61,17.01,0.73,7.65,36.07,61.0
31.68,14.53,0.48,20.98,37.94,66.0
248.54,61.57,1.36,14.42,66.31,394.0
123.66,50.39,1.17,11.39,32.28,257.0
32.18,13.11,0.55,15.43,36.9,59.0
148.44,58.32,1.96,12.13,66.62,388.0
56.93,35.26,0.02,4.48,15.72,143.0
60.88,42.26,0.74,16.57,31.63,159.0
13.08,11.15,0.14,5.22,33.21,61.0
40.07,11.91,0.67,6.47,8.12,80.0
63.83,33.16,0.88,10.25,101.8,150.0
26.6,16.09,0.17,4.95,29.62,85.0
79.83,44.0,0.99,10.73,30.53,155.0
131.1,34.53,1.32,11.7,29.44,323.0
16.98,9.37,0.35,5.9,23.51,52.0
87.69,10.05,0.59,10.68,22.89,183.0
73.58,78.11,1.2,5.07,19.1,165.0
57.83,14.13,0.78,15.1,51.67,121.0
34.45,22.97,0.67,5.71,18.1,93.0
130.16,14.57,2.31,6.87,19.05,309.0
74.42,41.57,0.73,5.84,30.37,157.0
26.96,5.11,0.37,19.29,38.57,58.0
89.89,59.18,1.5,11.99,57.98,233.0
80.45,17.27,0.78,6.64,69.36,101.0
69.73,37.68,1.06,17.59,63.67,156.0
29.93,26.85,0.48,5.01,21.78,62.0
45.62,10.48,0.64,9.77,30.51,110.0
60.11,22.82,0.7,6.98,40.95,116.0
70.92,21.28,1.05,3.85,48.14,125.0
41.79,10.15,0.53,6.58,3.7,69.0
83.45,45.3,1.25,15.16,33.71,189.0
15.25,5.34,0.48,9.53,28.26,48.0
144.0,44.41,1.24,7.98,32.08,273.0
42.54,32.15,0.78,4.4,38.16,111.0
64.14,49.49,0.0,5.32,32.75,133.0
77.81,54.45,1.14,11.55,37.76,148.0
26.51,30.66,0.91,9.32,21.15,86.0
33.95,44.94,0.85,29.13,19.85,114.0
83.39,52.77,0.0,21.93,30.43,184.0
24.92,8.78,0.42,5.53,22.65,66.0
9.9,10.69,0.36,5.44,24.17,47.0
20.85,26.4,0.33,6.64,22.0,62.0
36.59,29.5,0.41,4.82,26.75,92.0
62.08,62.18,0.05,8.97,34.93,136.0
41.91,17.21,0.48,12.4,48.42,83.0
14.58,18.36,0.37,9.35,41.0,102.0
134.67,39.18,5.11,9.7,20.62,266.0
93.07,32.7,1.07,7.26,24.27,178.0
61.28,58.82,0.51,11.31,63.02,106.0
76.22,39.51,0.73,7.25,31.26,158.0
13.54,12.5,0.59,12.11,30.3,56.0
52.11,34.71,0.76,16.97,47.84,239.0
8.68,5.01,0.31,6.29,19.52,31.0
27.32,37.5,0.78,18.54,47.74,105.0
58.04,49.77,0.61,8.68,37.85,114.0
48.01,14.5,0.72,7.33,74.54,143.0
77.02,45.5,1.37,11.9,51.37,165.0
34.41,39.35,0.01,0.87,14.24,91.0
32.44,28.77,0.64,30.59,41.06,87.0
16.61,5.56,0.26,5.95,27.15,52.0
43.29,13.55,0.77,5.69,64.64,110.0
31.52,20.17,0.45,18.1,43.53,80.0
31.08,17.82,0.65,11.05,13.07,78.0
35.01,29.5,0.48,5.17,25.43,69.0
63.41,25.2,0.43,2.94,30.1,132.0
10.44,15.62,0.05,5.09,34.13,60.0
370.73,80.73,2.45,17.84,104.94,597.0
12.51,23.7,0.29,8.73,11.2,40.0
60.41,38.15,0.81,3.2,27.13,124.0
40.61,10.97,0.48,27.59,31.58,111.0
7.0,7.66,1.08,8.39,17.77,75.0
23.34,58.13,1.34,31.7,42.77,155.0
25.7,23.5,0.66,9.09,23.92,92.0
53.28,34.25,0.82,19.06,42.57,126.0
40.65,21.39,0.45,4.04,17.96,59.0
8.77,13.0,0.36,3.66,20.62,34.0
33.91,11.05,1.42,43.86,21.75,90.0
16.11,25.8,0.48,8.2,7.76,130.0
17.03,10.15,0.5,13.84,21.8,45.0
15.43,13.07,0.54,10.4,17.37,35.0
16.39,8.68,0.62,10.98,31.2,92.0
70.83,38.05,0.8,9.54,63.84,140.0
31.01,49.62,0.24,16.22,21.89,82.0
77.24,29.47,0.87,10.29,21.07,172.0
209.61,60.56,2.33,19.55,86.74,370.0
47.94,12.63,0.62,10.92,16.48,131.0
89.92,52.59,1.39,10.78,57.23,164.0
57.85,49.21,0.88,8.69,46.5,114.0
41.11,10.69,0.7,5.59,91.17,152.0
103.98,65.52,1.46,12.48,57.66,270.0
44.76,47.01,1.1,4.76,33.86,104.0
192.35,50.35,1.44,13.95,38.5,339.0
43.88,49.84,0.69,12.45,29.07,115.0
56.98,47.69,0.56,14.98,34.51,117.0
39.72,26.29,0.81,9.68,17.53,100.0
60.32,65.82,0.5,31.34,42.62,98.0
58.38,48.94,0.59,5.85,12.41,147.0
57.58,35.5,0.7,7.14,89.74,117.0
62.31,14.9,1.0,16.91,49.95,98.0
20.26,21.57,0.28,5.72,17.59,48.0
75.54,27.0,1.14,6.7,78.9,143.0
29.9,20.64,0.42,4.27,25.52,71.0
63.68,10.13,1.03,7.86,42.74,144.0
16.87,19.34,0.7,9.37,10.24,62.0
90.03,57.15,1.14,11.62,42.51,216.0
13.03,25.64,0.51,20.09,32.1,75.0
34.2,10.6,0.37,10.98,31.58,126.0
34.26,30.73,0.87,10.2,31.96,105.0
72.24,40.97,0.63,5.04,41.27,134.0
147.97,24.95,2.27,9.16,36.54,317.0
85.11,97.16,1.28,17.17,37.99,189.0
101.18,51.63,1.28,17.36,67.6,239.0
52.16,49.82,1.09,17.91,64.36,202.0
40.2,29.28,0.45,4.62,22.37,77.0
15.53,27.48,0.48,10.19,14.2,66.0
19.61,40.12,0.67,13.09,7.5,78.0
16.51,10.33,0.34,4.35,16.37,36.0
15.99,19.0,0.5,2.98,12.49,53.0
63.37,42.57,1.13,13.36,36.72,160.0
43.88,15.46,0.89,2.35,34.26,112.0
19.76,22.67,0.8,8.49,34.09,77.0
30.74,30.7,0.51,2.86,42.07,94.0
21.88,25.54,0.28,6.2,16.38,72.0
17.25,11.93,0.57,13.36,38.25,63.0
47.12,0.17,1.25,4.36,80.43,149.0
165.95,58.22,1.75,16.81,30.92,317.0
420.3,64.57,2.45,26.52,38.35,452.0
68.66,39.51,0.91,8.61,38.38,174.0
23.03,28.72,0.69,9.34,22.35,83.0
59.42,12.73,0.92,20.55,63.08,131.0
32.16,16.41,0.6,14.0,67.11,107.0
72.18,36.5,0.15,11.19,67.21,154.0
88.29,60.83,1.28,16.54,57.78,203.0
31.85,57.8,0.71,27.14,26.32,115.0
48.62,8.8,0.65,5.13,79.1,134.0
40.98,14.6,0.46,18.62,39.9,65.0
36.31,18.03,0.52,17.79,42.23,85.0
287.56,60.03,2.43,12.71,33.2,419.0
57.97,9.32,0.47,3.58,17.94,133.0
76.84,25.66,1.18,19.73,52.03,181.0
51.92,37.2,0.71,6.0,54.12,124.0
63.48,29.34,0.62,19.89,78.72,91.0
84.48,80.74,1.21,30.44,33.39,156.0
49.53,16.6,1.11,7.85,29.88,120.0
60.92,32.52,0.17,16.51,53.34,165.0
87.74,53.88,1.44,22.03,57.86,240.0
15.21,13.5,0.42,9.37,33.08,111.0
58.9,78.77,0.82,3.24,17.78,123.0
80.67,57.6,0.74,13.6,34.87,189.0
77.51,36.41,0.05,14.36,72.16,214.0
15.14,5.53,0.34,6.54,21.19,46.0
21.95,15.49,0.01,10.4,26.48,85.0
16.07,18.26,0.84,9.12,52.07,61.0
62.64,32.29,0.55,7.01,34.16,123.0
74.45,12.5,0.75,19.09,59.61,133.0
104.17,63.45,1.92,25.76,53.24,257.0
18.4,13.66,0.38,5.51,48.0,66.0
82.37,50.69,1.34,26.12,47.45,223.0
158.69,61.17,1.61,18.85,38.6,323.0
41.93,32.43,0.56,7.74,38.17,114.0
18.41,11.45,0.6,11.51,31.08,49.0
23.45,11.92,0.34,10.0,57.56,82.0
58.3,42.34,0.16,23.97,36.37,156.0
15.23,7.4,0.49,25.54,28.78,43.0
8.12,7.85,0.53,11.39,34.36,52.0
10.32,40.82,0.8,29.33,19.51,52.0
23.09,18.51,0.84,9.95,50.29,84.0
22.07,5.25,0.62,12.96,40.3,91.0
9.72,16.76,0.38,5.86,12.08,46.0
37.1,31.49,0.77,4.73,24.16,103.0
9.99,12.56,0.72,8.72,29.54,72.0
38.02,38.62,0.68,25.27,11.39,127.0
38.35,16.64,0.5,51.84,33.26,109.0
26.0,21.79,0.6,8.13,58.17,101.0
46.6,41.14,1.05,5.74,21.2,97.0
124.48,56.39,1.32,10.61,25.55,232.0
33.69,22.46,0.66,5.13,9.26,100.0
16.58,9.16,0.29,6.64,18.05,45.0
39.47,34.63,0.55,7.05,47.0,104.0
10.0,12.34,0.5,9.6,19.04,35.0
32.61,36.09,0.51,10.45,11.48,81.0
64.67,56.35,1.13,15.17,43.97,116.0
52.28,46.05,1.14,32.89,61.72,119.0
71.21,49.67,1.14,6.99,28.63,159.0
84.7,45.34,1.03,10.53,16.57,204.0
48.65,7.94,0.89,6.79,26.1,109.0
73.77,61.11,1.15,2.45,57.06,179.0
22.41,5.06,0.56,13.4,31.23,77.0
42.34,39.02,0.83,20.9,11.81,109.0
18.14,21.59,0.71,8.4,31.53,56.0
131.49,54.53,1.18,14.58,49.34,287.0
32.69,40.08,0.63,7.85,46.0,91.0
64.73,45.83,0.92,5.73,26.62,125.0
36.24,19.93,0.46,21.35,54.64,91.0
134.76,65.86,1.64,18.68,52.43,316.0
67.56,21.0,0.49,6.95,37.74,111.0
11.93,22.14,0.25,4.96,20.46,49.0
21.23,17.52,0.54,10.28,25.06,51.0
33.01,48.77,0.96,7.57,15.32,105.0
31.64,18.65,0.66,9.58,39.56,75.0
72.49,47.58,1.11,10.08,46.58,132.0
17.54,13.16,0.34,1.73,19.44,57.0
8.71,6.04,1.03,8.12,22.3,56.0
56.84,63.61,1.11,8.07,11.88,104.0
32.09,18.55,0.55,5.49,41.44,68.0
41.88,33.95,0.6,5.92,42.15,112.0
32.63,31.82,1.22,9.81,29.87,104.0
32.64,9.42,0.65,13.95,19.52,109.0
54.65,27.04,0.95,9.6,69.69,100.0
72.0,48.13,0.28,24.77,52.2,164.0
38.37,21.41,1.02,11.28,25.92,86.0
66.39,11.42,0.87,9.98,45.62,139.0
13.88,9.11,0.31,7.42,38.95,54.0
82.17,52.91,1.24,18.44,42.09,190.0
53.48,26.72,0.7,7.47,33.08,86.0
86.49,50.3,3.67,14.99,62.52,247.0
83.64,15.67,0.84,16.5,50.47,166.0
18.72,25.46,0.42,12.33,18.28,47.0
124.14,48.03,1.56,9.72,13.53,286.0
40.41,26.24,0.98,2.96,19.73,82.0
22.42,22.97,0.8,4.42,5.25,81.0
45.66,38.39,1.14,14.41,25.39,122.0
49.04,19.92,0.64,6.82,26.52,105.0
71.4,49.1,0.98,10.47,43.09,135.0
20.47,16.75,0.27,3.85,25.82,80.0
67.45,18.54,0.55,11.9,32.42,129.0
291.66,61.66,1.75,21.15,101.14,454.0
37.85,27.18,0.41,9.87,37.66,98.0
89.59,14.73,1.53,10.99,36.11,179.0
96.56,52.77,4.63,15.8,59.88,290.0
14.48,12.77,0.5,9.81,24.28,42.0
49.34,18.33,0.68,14.23,50.44,105.0
148.59,20.83,11.44,5.96,16.65,333.0
34.85,24.19,0.42,8.8,23.55,79.0
52.61,25.06,0.89,14.62,58.4,114.0
25.09,26.5,0.54,3.04,19.16,56.0
89.17,57.03,1.27,22.48,33.94,168.0
218.06,71.73,3.04,16.49,40.87,385.0
72.62,24.0,0.77,6.6,93.6,147.0
68.09,36.01,1.26,6.49,64.59,190.0
254.36,56.46,1.74,13.67,69.5,444.0
19.3,6.6,0.34,5.4,41.11,63.0
39.09,45.01,0.09,4.46,47.08,127.0
20.75,5.59,0.48,9.15,25.97,58.0
38.53,31.62,0.7,2.13,38.9,77.0
105.71,42.24,1.26,14.3,35.15,221.0
51.38,15.96,0.81,18.26,50.47,124.0
82.76,22.64,0.78,29.74,55.26,160.0
69.42,45.82,1.35,23.42,39.0,133.0
55.33,22.96,1.03,11.55,10.96,112.0
55.64,10.19,0.73,10.87,36.72,87.0
72.08,27.11,0.01,1.97,9.16,154.0
28.43,9.49,0.56,17.06,42.66,83.0
218.87,71.25,2.28,24.39,66.07,406.0
27.92,35.64,1.07,35.46,25.98,89.0
89.1,42.57,1.26,16.1,69.07,259.0
23.29,22.64,0.36,5.39,24.22,58.0
16.35,14.64,0.3,11.11,32.2,53.0
62.42,34.95,0.0,3.59,22.36,158.0
84.13,36.11,1.14,12.38,75.5,288.0
61.83,60.63,0.38,34.5,54.68,117.0
25.41,46.17,0.42,13.34,21.87,81.0
71.08,26.01,1.04,13.57,38.86,147.0
123.9,60.49,1.45,15.18,66.62,296.0
25.59,10.68,0.3,11.46,44.57,78.0
51.51,57.93,1.07,12.3,26.53,105.0
95.98,41.56,1.01,16.53,57.43,238.0
59.27,42.82,0.64,14.57,26.83,117.0
75.77,47.6,0.74,6.42,39.24,153.0
29.76,35.69,0.89,15.27,12.02,75.0
91.88,13.5,1.3,9.59,12.55,199.0
11.79,10.34,0.17,5.77,22.38,51.0
101.36,67.53,0.95,27.0,47.61,222.0
110.68,48.8,1.74,9.61,51.68,288.0
22.65,16.8,1.18,8.89,29.44,83.0
36.78,22.19,0.51,6.41,56.64,109.0
31.51,27.54,1.05,9.64,30.05,117.0
40.03,40.83,0.69,21.41,19.68,135.0
42.51,24.64,0.53,14.5,35.13,131.0
39.77,24.88,0.45,8.16,27.19,107.0
78.54,42.08,0.94,15.92,31.37,162.0
20.54,8.87,0.28,6.38,14.61,53.0
331.2,75.06,2.78,18.27,43.3,501.0
8.48,12.12,0.3,6.56,17.98,35.0
31.74,39.07,0.64,8.16,33.84,112.0
32.51,27.31,0.46,4.77,32.78,70.0
36.68,37.39,1.04,9.85,10.97,120.0
75.52,25.85,0.74,12.37,32.23,159.0
67.3,40.48,0.7,5.66,33.84,146.0
24.18,25.77,0.85,4.87,13.52,63.0
30.22,26.45,0.93,8.78,31.25,90.0
18.37,8.91,0.36,8.1,32.05,48.0
39.83,14.37,0.7,8.89,23.13,74.0
46.49,12.03,0.68,7.03,9.22,77.0
80.96,89.01,1.51,15.71,41.41,215.0
18.58,15.66,0.09,3.32,31.82,60.0
57.53,25.03,0.78,25.39,31.15,117.0
33.09,35.48,0.54,6.92,51.74,90.0
29.34,18.55,0.77,9.45,36.52,67.0
12.01,13.82,0.64,11.34,25.6,45.0
48.33,59.48,0.77,17.88,37.29,131.0
19.94,10.35,0.47,13.38,31.97,47.0
60.55,41.27,0.19,14.86,63.64,137.0
28.03,4.43,0.79,4.23,62.64,94.0
12.96,12.0,0.17,6.44,33.41,64.0
65.24,52.86,0.7,19.97,38.19,134.0
134.61,15.94,1.27,9.82,34.33,177.0
125.44,64.7,1.96,28.67,57.0,284.0
97.4,48.01,1.34,14.42,45.63,206.0
29.65,28.29,0.84,7.27,23.33,84.0
54.84,33.09,0.72,5.12,69.7,114.0
71.13,40.37,1.03,4.28,11.79,229.0
101.19,26.62,1.24,5.94,23.25,298.0
38.41,26.61,0.49,8.07,41.64,111.0
10.46,8.2,0.29,5.88,37.78,51.0
11.92,12.37,0.28,7.28,14.98,34.0
37.34,17.18,0.61,8.07,15.63,88.0
13.72,14.02,0.74,9.17,43.02,48.0
62.5,56.5,0.7,13.91,48.05,157.0
164.2,62.66,1.52,15.09,55.26,347.0
72.01,50.74,0.89,9.28,52.29,142.0
69.24,2.3,1.09,6.55,33.97,219.0
13.49,4.2,0.57,12.69,22.15,75.0
91.06,21.0,1.4,11.16,25.38,199.0
40.09,22.32,0.66,10.52,10.35,114.0
49.75,13.67,0.55,6.29,81.32,128.0
64.93,22.8,0.35,45.54,68.19,134.0
73.6,10.41,0.85,5.67,53.31,160.0
69.58,39.5,1.22,7.2,85.63,146.0
12.66,10.21,0.36,6.73,42.34,61.0
9.07,11.38,0.35,2.12,24.01,38.0
35.3,17.32,0.46,7.89,38.28,69.0
16.64,29.26,0.52,9.84,28.3,54.0
45.9,24.78,0.92,12.71,50.06,123.0
137.05,45.09,2.52,10.52,60.42,313.0
57.6,27.41,0.79,4.6,27.24,106.0
57.4,53.6,0.72,12.22,43.22,151.0
20.08,12.48,0.35,3.65,19.24,46.0
26.64,19.09,0.51,5.22,28.01,85.0
9.39,12.29,0.35,17.07,24.65,45.0
37.5,19.09,0.77,7.61,34.08,82.0
53.03,22.34,0.61,7.09,49.89,130.0
43.82,35.96,0.59,6.48,40.44,114.0
70.0,31.12,0.98,8.23,121.71,175.0
252.48,61.36,1.79,15.18,42.35,376.0
25.81,19.01,0.46,8.83,16.68,61.0
12.75,13.54,0.34,3.99,21.45,35.0
81.37,34.88,4.67,13.97,70.42,234.0
34.12,19.98,0.7,24.2,42.21,109.0
76.62,18.21,9.02,4.2,22.85,197.0
19.04,13.39,0.38,7.97,49.78,149.0
35.08,17.52,0.58,12.47,40.26,74.0
92.38,21.67,0.17,2.87,9.65,170.0
55.4,27.3,0.3,41.03,49.06,113.0
69.15,34.06,0.67,6.04,30.76,127.0
217.7,91.65,3.0,19.85,48.43,375.0
122.69,47.31,1.22,13.34,29.58,274.0
14.58,12.35,0.35,8.73,40.32,63.0
29.1,23.58,0.72,10.98,26.36,86.0
74.45,35.26,0.79,8.71,27.73,273.0
42.71,17.35,0.49,9.53,30.68,87.0
60.66,15.99,1.14,5.09,32.62,121.0
152.98,51.6,1.33,17.15,54.55,314.0
164.46,32.19,1.38,7.62,11.68,298.0
72.19,47.3,0.83,14.73,53.58,151.0
30.77,42.96,0.75,6.5,26.63,74.0
77.57,14.81,0.83,14.99,56.45,156.0
64.09,31.64,0.7,6.33,50.55,135.0
38.11,25.56,0.11,11.54,50.37,122.0
22.91,29.53,0.48,8.42,30.96,68.0
34.6,18.43,0.74,12.51,16.48,117.0
25.67,21.21,0.44,4.35,21.56,65.0
20.21,12.57,0.44,14.75,24.05,57.0
17.78,23.5,0.39,28.17,35.82,66.0
12.78,9.72,0.51,6.61,18.39,41.0
67.1,32.02,1.17,10.37,31.9,151.0
56.62,22.71,0.91,6.96,34.74,140.0
69.14,44.32,0.85,11.87,89.44,208.0
